RequirementText,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),num_labels
While streaming a movie buffering should only occur if there is latency in the user's connection.',0,0,0,0,0,0,1,0,0,0,0,1
'All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.',0,0,0,0,0,0,0,0,0,1,0,1
'The website shall be available for use 24 hours per day 365 days per year.',1,0,0,0,0,0,0,0,0,0,0,1
'The website shall achieve 99.5% up time.',1,0,0,0,0,0,0,0,0,0,0,1
'All movies shall be streamed on demand at any time of the day.',1,0,0,0,0,0,0,0,0,0,0,1
'The website shall continue to operate if the streaming server goes down.',1,1,0,0,0,0,0,0,0,0,0,2
'The website shall continue to operate if the payment gateway goes down.',1,1,0,0,0,0,0,0,0,0,0,2
'The streaming server will support 50 simultaneous streaming connections.',0,0,0,0,0,0,0,0,1,0,0,1
'The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.',0,0,0,0,1,0,0,0,1,0,0,2
'The server will support a maximum of 1 000 simultaneous users.',0,0,0,0,0,0,0,0,1,0,0,1
'The website shall be capable of supporting 100 000 customers.',0,0,0,0,0,0,0,0,1,0,0,1
'The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.',0,0,0,0,1,1,0,0,0,0,0,2
'All aspects of the website shall be accessed by a web browser over the Internet.',0,0,0,0,0,1,0,0,0,0,0,1
'The same hardware supporting the current website will be used to support the new system.',0,0,0,0,0,1,0,1,0,0,0,2
'We must be able to interface with the following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.',0,0,0,0,0,1,0,0,0,0,0,1
'Website must interface with the CyberSource API to process credit card transactions.',0,0,0,0,0,1,0,0,0,0,0,1
'Website must be fully operational with MSN TV2.',0,0,0,0,0,1,0,0,0,0,0,1
'Movies shall be encoded and streamed via Windows Media Player 9.0.',0,0,0,0,0,1,0,0,0,0,0,1
'Movies shall be encoded for 56k and 256k streams.',0,0,0,0,0,1,0,0,0,0,0,1
'Promotional updates to the website should take a day to update.',0,0,0,0,1,0,0,0,0,0,1,2
'Izogn Administrator must be able to update the category listings on the website within 2 minutes.',0,0,0,1,0,0,1,0,0,0,1,3
'Izogn Administrator must be able to add new products to the website within 2 minutes.',0,0,0,1,0,0,1,0,0,0,1,3
'The system will provide a 24 hour 800 toll free number for support to its customers.',1,0,0,0,0,0,0,0,0,0,0,1
'Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.',1,0,0,0,0,0,0,0,0,0,0,1
'The product shall be able to be installed in the specified environment within 1 working day.',0,0,0,0,0,1,0,0,0,0,0,1
'Only registered customers can purchase streaming movies.',0,0,0,0,0,0,0,0,0,1,0,1
'A customer can only stream a movie if they purchased it and are within the 2 day viewing period.',0,0,1,0,0,0,0,0,0,1,0,2
'Only authorized personnel can access customer records in the database.',0,0,0,0,0,0,0,0,0,1,0,1
'Only administrators can activate a pre-paid card.',0,0,0,0,0,0,0,0,0,1,0,1
'Only authorized personnel can access sales information.',0,0,0,0,0,0,0,0,0,1,0,1
'The website shall prevent its data from being corrupted when incorrect data is entered in.',0,1,0,0,0,0,0,0,0,1,0,2
'The website shall protect itself from intentional abuse and notify the administrator at all occurrences.',0,0,0,0,1,0,0,0,0,1,0,2
'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.',0,0,0,0,1,0,0,0,0,1,0,2
'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.',0,0,0,0,0,0,0,0,0,1,1,2
The system shall reveal private information only in compliance with the organization's information policy.',0,0,1,0,0,0,0,0,0,1,0,2
'All customer information will be stored on a secure database accessible only to authorized personnel.',0,0,0,0,0,0,0,0,0,1,0,1
'All credit card information will be encrypted in the database.',0,0,0,0,0,0,0,0,0,1,0,1
'The streaming server will have anti-virus software to prevent infection of malicious viruses.',0,0,0,0,0,0,0,0,0,1,0,1
'The website should cater to all tribes in Nigeria.',0,0,0,1,0,0,0,0,0,0,1,2
'The website shall not be offensive to religious or ethnic groups.',0,0,0,1,0,0,0,0,0,0,0,1
'The website should appeal to all Africans not only Nigerians.',0,0,0,1,0,0,0,0,0,0,0,1
'The website should use Flash to provide animation on the home page.',0,0,0,1,0,1,0,0,0,0,0,2
'IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.',0,0,1,0,0,0,0,0,0,0,0,1
'The website will comply with W3C standards.',0,0,1,0,0,0,0,0,0,1,0,2
'The PHP code will comply with PEAR standards.',0,0,1,0,0,0,0,0,0,1,0,2
'All streaming movie sales will be logged in the database and accessible by the administrator.',1,0,0,0,0,0,0,0,0,0,0,1
'Daily usage statistics should be logged and accessible by the administrator.',0,0,0,0,1,0,0,0,0,0,0,1
'The owner shall have free access to all of the streaming movies.',1,0,0,0,0,0,0,0,0,1,1,3
'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.',1,0,0,0,0,0,1,0,0,0,0,2
'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.',1,0,0,0,0,0,1,0,0,0,0,2
'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.',0,0,0,0,0,0,1,0,0,0,0,1
'The lead washing process will operate within the established physical web service structure.',0,0,0,0,0,1,0,0,0,0,0,1
'The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.',0,0,0,0,0,1,0,0,0,0,0,1
'Defect reports will be available to technical units on a 24x7 basis.',1,1,0,0,0,0,0,0,0,0,0,2
'Washing parameters will be updated during scheduled maintenance hours.',0,0,0,0,1,0,0,0,0,0,0,1
'The product shall simulate the look of ships at sea.',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall display the grids within a circle as a view from a periscope.',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall display each type of ship in a grid using an image of the specific type of ship.',0,0,0,1,0,0,0,0,0,0,0,1
'When the offensive player takes a shot the product shall simulate the sound of a ship at sea.',0,0,0,1,0,0,0,0,0,0,0,1
'When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.',0,0,0,1,0,0,0,0,0,0,0,1
'When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.',0,0,0,1,0,0,0,0,0,0,0,1
'When a ship is sunk the product shall simulate the sound of a sinking ship.',0,0,0,1,0,0,0,0,0,0,0,1
'The product shall be available 24 hours per day seven days per week.',1,0,0,0,0,0,0,0,0,0,0,1
'The product shall able to handle a large number of games simultaneously.',0,0,0,0,0,0,1,0,1,0,0,2
'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.',0,0,0,0,0,0,0,0,0,1,0,1
'The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall provide players no access to information that might reveal the identity of another player',0,0,0,0,0,0,0,0,0,1,0,1
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.',0,0,0,0,0,0,1,0,0,0,1,2
The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.',0,0,0,0,0,0,0,0,0,0,1,1
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',0,0,0,0,0,0,1,0,0,0,1,2
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.',1,0,0,0,0,0,1,0,0,0,0,2
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',1,0,0,0,0,0,1,0,0,0,0,2
The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.',1,0,0,0,0,0,0,0,0,0,0,1
The system must be available for use between 7:00AM and 11:59PM all days of the year.',1,0,0,0,0,0,0,0,0,0,0,1
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.',0,0,0,0,0,0,0,1,0,0,0,1
The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',0,0,0,0,0,0,0,0,0,1,0,1
The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',0,0,0,0,0,0,0,0,0,1,0,1
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',0,0,0,0,0,0,0,0,0,1,0,1
The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.',0,0,0,1,0,0,0,0,0,0,0,1
The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.',0,0,0,1,0,0,1,0,0,0,0,2
'The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.',0,0,0,0,1,1,0,0,0,0,0,2
'The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.',0,0,1,1,0,0,0,0,0,0,0,2
'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.',0,1,0,0,1,0,0,0,0,0,1,3
'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',0,0,0,0,0,0,0,0,0,0,1,1
'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications',0,0,0,0,0,0,1,0,0,0,1,2
'The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.',0,0,0,0,0,0,1,0,1,0,1,3
'The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.',0,0,0,0,0,0,1,0,0,0,0,1
'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.',0,1,0,0,0,0,0,0,1,0,0,2
'The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.',1,0,0,0,0,0,0,0,0,0,0,1
'The product shall be robust.The product shall have fault avoidance based on standards adoption.',0,1,0,0,0,0,1,0,0,0,0,2
'The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.',0,1,0,0,0,0,0,0,0,0,0,1
'The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.',0,0,0,0,0,0,1,0,1,0,0,2
'The product shall be platform independent.The product shall enable access to any type of development environment and platform.',0,0,0,0,0,1,0,1,0,0,0,2
'The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.',0,0,0,0,0,1,0,0,0,0,0,1
': The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.',0,0,0,0,1,0,0,1,0,0,0,2
'The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.',0,0,0,0,1,0,0,0,0,0,0,1
'The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.',0,0,0,0,1,0,0,1,0,0,0,2
'The product shall have security.The product shall provide authentication and authorization.',0,0,0,0,0,0,0,0,0,1,0,1
'The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.',0,0,0,0,0,0,0,0,0,1,0,1
'The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.',0,0,0,0,0,0,0,0,0,1,0,1
'The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.',0,0,0,1,0,0,0,0,0,0,0,1
'The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.',0,0,0,1,0,0,0,1,0,0,0,2
'The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports',0,0,0,1,0,0,0,0,0,0,0,1
The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface',0,0,0,1,0,0,0,0,0,0,0,1
'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard',0,0,0,1,0,0,0,0,0,0,1,2
'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.',0,0,0,1,0,0,0,0,0,0,1,2
Reports must be easy to generate. Reports must be generated within one button click and exported within one button click (after selecting the report)',0,0,0,0,0,1,0,0,0,0,1,2
'A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.',0,0,0,0,0,0,0,0,0,0,1,1
'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.',0,0,1,1,0,0,0,0,0,0,1,3
The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.',1,0,0,0,0,0,0,0,0,0,0,1
'The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.',0,0,0,0,0,0,0,1,1,0,0,2
'The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.',0,0,0,0,0,0,0,0,1,0,1,2
'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.',0,0,0,0,0,1,0,1,0,0,0,2
'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.',0,0,0,1,0,1,0,0,0,0,0,2
'The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.',0,1,0,0,1,0,0,0,0,0,0,2
'All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation',0,0,0,0,1,0,0,0,0,0,0,1
'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.',0,0,0,0,0,0,0,0,0,1,0,1
The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.',0,0,0,0,0,0,0,0,0,1,0,1
Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page',0,0,0,0,0,0,0,0,0,1,0,1
'The Commissioner will be the only authorized user per league to adjust league settings.',0,0,1,0,0,0,0,0,0,1,0,2
'Each page shall contain a navigation menu which shows the index into which the current page is contained.',0,0,0,1,0,0,0,0,0,0,0,1
'Each page shall contain a similar format with action items in one location and navigation buttons in a different location.',0,0,0,1,0,0,0,0,0,0,1,2
'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.',0,0,0,1,0,0,1,0,0,0,1,3
"Users shall be able to reach the 'add' , drop',  and 'trade player' pages with one click from the team owner's page.'",0,0,0,1,0,0,0,0,0,0,1,2
'Users shall be able to view at least 25 NFL player statistics and points on each page.',0,0,0,0,0,0,1,0,0,0,0,1
'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.',1,0,0,0,0,0,1,0,0,0,0,2
'The application shall have a downtime of at most 10 minutes per year.',1,0,0,0,0,0,0,0,0,0,0,1
'The application shall run on a web application server.',0,0,0,0,0,1,0,0,0,0,0,1
'A primary database will be used to store cached data for active users.',0,0,0,0,1,1,0,0,0,0,0,2
'A secondary database will be used to store historical statistics and data.',0,0,0,0,1,1,0,0,0,0,0,2
'Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.',0,0,0,0,1,0,0,0,0,0,0,1
'New System version releases shall be released at the beginning of each NFL season.',0,0,0,0,1,0,0,0,0,0,0,1
'The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.',1,1,0,0,0,0,1,0,0,0,0,3
'98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.',0,0,0,0,0,1,0,0,0,0,0,1
'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls',0,0,0,0,0,1,0,0,0,0,0,1
The RFS system should be able to easily interface with the BDW environment in order to load the data. Seven data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.',0,0,0,0,0,1,1,0,0,0,0,2
'Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.',0,0,1,0,1,0,0,0,0,0,0,2
'New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.',1,0,0,0,1,0,0,0,0,0,0,2
'Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.',0,0,0,0,0,0,0,0,0,1,0,1
User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role.',0,0,0,0,0,0,0,0,0,1,0,1
'The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.',0,0,1,1,0,0,0,0,0,0,0,2
'The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.',0,0,0,1,0,0,0,0,0,0,0,1
'The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.',0,0,0,0,0,0,0,0,0,0,1,1
'The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.',1,0,0,0,0,0,1,0,0,0,0,2
